id,net_payment_count
202311merchant_36004,0.0
202312merchant_36004,0.0
202310merchant_36004,0.0
202311merchant_23099,0.0
202312merchant_23099,0.0
202310merchant_23099,0.0
202311merchant_13105,0.0
202312merchant_13105,0.0
202310merchant_13105,0.0
202311merchant_32059,0.0
202312merchant_32059,0.0
202310merchant_32059,0.0
202311merchant_63368,0.0
202312merchant_63368,0.0
202310merchant_63368,0.0
202311merchant_38016,0.0
202312merchant_38016,0.0
202310merchant_38016,0.0
202311merchant_12914,0.0
202312merchant_12914,0.0
202310merchant_12914,0.0
202311merchant_39589,0.0
202312merchant_39589,0.0
202310merchant_39589,0.0
202311merchant_47910,0.0
202312merchant_47910,0.0
202310merchant_47910,0.0
202311merchant_4478,0.0
202312merchant_4478,0.0
202310merchant_4478,0.0
202311merchant_6363,0.0
202312merchant_6363,0.0
202310merchant_6363,0.0
202311merchant_60380,0.0
202312merchant_60380,0.0
202310merchant_60380,0.0
202311merchant_4181,0.0
202312merchant_4181,0.0
202310merchant_4181,0.0
202311merchant_32047,24.56870740184968
202312merchant_32047,24.568709235229374
202310merchant_32047,24.56701243023643
202311merchant_52349,0.0
202312merchant_52349,0.0
202310merchant_52349,0.0
202311merchant_31756,0.0
202312merchant_31756,0.0
202310merchant_31756,0.0
202311merchant_13189,0.0
202312merchant_13189,0.0
202310merchant_13189,0.0
202311merchant_17506,0.0
202312merchant_17506,0.0
202310merchant_17506,0.0
202311merchant_59427,8.279745421557502
202312merchant_59427,8.289878756641981
202310merchant_59427,8.132736136418421
202311merchant_35606,0.0
202312merchant_35606,0.0
202310merchant_35606,0.0
202311merchant_36485,0.0
202312merchant_36485,0.0
202310merchant_36485,0.0
202311merchant_28117,5.183549718515428
202312merchant_28117,5.134962241942666
202310merchant_28117,4.8611839734636595
202311merchant_24863,0.0
202312merchant_24863,0.0
202310merchant_24863,0.0
202311merchant_58216,0.0
202312merchant_58216,0.0
202310merchant_58216,0.0
202311merchant_56159,0.0
202312merchant_56159,0.0
202310merchant_56159,0.0
202311merchant_38874,0.0
202312merchant_38874,0.0
202310merchant_38874,0.0
202311merchant_60784,0.0
202312merchant_60784,0.0
202310merchant_60784,0.0
202311merchant_7192,51.511390472322375
202312merchant_7192,51.71122118806172
202310merchant_7192,53.78116321371973
202311merchant_46004,0.0
202312merchant_46004,0.0
202310merchant_46004,0.0
202311merchant_31016,0.0
202312merchant_31016,0.0
202310merchant_31016,0.0
202311merchant_64400,0.0
202312merchant_64400,0.0
202310merchant_64400,0.0
202311merchant_47393,0.0
202312merchant_47393,0.0
202310merchant_47393,0.0
202311merchant_18067,0.0
202312merchant_18067,0.0
202310merchant_18067,0.0
202311merchant_7060,0.0
202312merchant_7060,0.0
202310merchant_7060,0.0
202311merchant_64234,0.0
202312merchant_64234,0.0
202310merchant_64234,0.0
202311merchant_35094,0.0
202312merchant_35094,0.0
202310merchant_35094,0.0
202311merchant_27838,0.0
202312merchant_27838,0.0
202310merchant_27838,0.0
202311merchant_554,12.265721651508938
202312merchant_554,12.309966496728878
202310merchant_554,12.605233275832848
202311merchant_57178,0.0
202312merchant_57178,0.0
202310merchant_57178,0.0
202311merchant_40147,25.157869486919537
202312merchant_40147,29.652856223865175
202310merchant_40147,33.86452236625491
202311merchant_37586,0.0
202312merchant_37586,0.0
202310merchant_37586,0.0
202311merchant_36677,0.0
202312merchant_36677,0.0
202310merchant_36677,0.0
202311merchant_49940,0.0
202312merchant_49940,0.0
202310merchant_49940,0.0
202311merchant_35648,0.0
202312merchant_35648,0.0
202310merchant_35648,0.0
202311merchant_9177,0.0
202312merchant_9177,0.0
202310merchant_9177,0.0
202311merchant_39147,0.0
202312merchant_39147,0.0
202310merchant_39147,0.0
202311merchant_59416,0.0
202312merchant_59416,0.0
202310merchant_59416,0.0
202311merchant_23797,0.0
202312merchant_23797,0.0
202310merchant_23797,0.0
202311merchant_50259,0.0
202312merchant_50259,0.0
202310merchant_50259,0.0
202311merchant_45292,5.519656411641953
202312merchant_45292,5.553569389911734
202310merchant_45292,5.4027823395453085
202311merchant_12041,0.0
202312merchant_12041,0.0
202310merchant_12041,0.0
202311merchant_41826,0.0
202312merchant_41826,0.0
202310merchant_41826,0.0
202311merchant_59063,0.0
202312merchant_59063,0.0
202310merchant_59063,0.0
202311merchant_51921,0.0
202312merchant_51921,0.0
202310merchant_51921,0.0
202311merchant_57244,0.0
202312merchant_57244,0.0
202310merchant_57244,0.0
202311merchant_7909,0.0
202312merchant_7909,0.0
202310merchant_7909,0.0
202311merchant_21861,0.0
202312merchant_21861,0.0
202310merchant_21861,0.0
202311merchant_754,0.0
202312merchant_754,0.0
202310merchant_754,0.0
202311merchant_52515,0.0
202312merchant_52515,0.0
202310merchant_52515,0.0
202311merchant_39295,0.0
202312merchant_39295,0.0
202310merchant_39295,0.0
202311merchant_61204,12.691181342640151
202312merchant_61204,13.41338132865952
202310merchant_61204,15.28000759285905
202311merchant_27533,0.0
202312merchant_27533,0.0
202310merchant_27533,0.0
202311merchant_25262,0.0
202312merchant_25262,0.0
202310merchant_25262,0.0
202311merchant_59896,0.0
202312merchant_59896,0.0
202310merchant_59896,0.0
202311merchant_7022,0.0
202312merchant_7022,0.0
202310merchant_7022,0.0
202311merchant_41077,0.0
202312merchant_41077,0.0
202310merchant_41077,0.0
202311merchant_56471,0.0
202312merchant_56471,0.0
202310merchant_56471,0.0
202311merchant_8259,0.0
202312merchant_8259,0.0
202310merchant_8259,0.0
202311merchant_32589,4.7792301529295935
202312merchant_32589,4.781969481527863
202310merchant_32589,4.734378140248701
202311merchant_26352,0.0
202312merchant_26352,0.0
202310merchant_26352,0.0
202311merchant_44817,0.0
202312merchant_44817,0.0
202310merchant_44817,0.0
202311merchant_57289,0.0
202312merchant_57289,0.0
202310merchant_57289,0.0
202311merchant_37911,0.0
202312merchant_37911,0.0
202310merchant_37911,0.0
202311merchant_18407,72.44750590127957
202312merchant_18407,72.44774591616803
202310merchant_18407,72.4662655806424
202311merchant_39091,0.0
202312merchant_39091,0.0
202310merchant_39091,0.0
202311merchant_31589,0.0
202312merchant_31589,0.0
202310merchant_31589,0.0
202311merchant_23477,0.0
202312merchant_23477,0.0
202310merchant_23477,0.0
202311merchant_27927,0.0
202312merchant_27927,0.0
202310merchant_27927,0.0
202311merchant_2772,0.0
202312merchant_2772,0.0
202310merchant_2772,0.0
202311merchant_27634,0.0
202312merchant_27634,0.0
202310merchant_27634,0.0
202311merchant_7419,0.0
202312merchant_7419,0.0
202310merchant_7419,0.0
202311merchant_8436,0.0
202312merchant_8436,0.0
202310merchant_8436,0.0
202311merchant_20180,0.0
202312merchant_20180,0.0
202310merchant_20180,0.0
202311merchant_67058,0.0
202312merchant_67058,0.0
202310merchant_67058,0.0
202311merchant_5069,0.0
202312merchant_5069,0.0
202310merchant_5069,0.0
202311merchant_60505,0.0
202312merchant_60505,0.0
202310merchant_60505,0.0
202311merchant_33069,0.0
202312merchant_33069,0.0
202310merchant_33069,0.0
202311merchant_7200,0.0
202312merchant_7200,0.0
202310merchant_7200,0.0
202311merchant_62509,0.0
202312merchant_62509,0.0
202310merchant_62509,0.0
202311merchant_18520,0.0
202312merchant_18520,0.0
202310merchant_18520,0.0
202311merchant_58682,0.0
202312merchant_58682,0.0
202310merchant_58682,0.0
202311merchant_32979,0.0
202312merchant_32979,0.0
202310merchant_32979,0.0
202311merchant_66773,0.0
202312merchant_66773,0.0
202310merchant_66773,0.0
202311merchant_66877,5.999885490639589
202312merchant_66877,4.032684369578066
202310merchant_66877,4.032569866882387
202311merchant_32090,0.0
202312merchant_32090,0.0
202310merchant_32090,0.0
202311merchant_10145,0.0
202312merchant_10145,0.0
202310merchant_10145,0.0
202311merchant_36688,0.0
202312merchant_36688,0.0
202310merchant_36688,0.0
202311merchant_6694,0.0
202312merchant_6694,0.0
202310merchant_6694,0.0
202311merchant_22467,0.0
202312merchant_22467,0.0
202310merchant_22467,0.0
202311merchant_42886,0.0
202312merchant_42886,0.0
202310merchant_42886,0.0
202311merchant_949,0.0
202312merchant_949,0.0
202310merchant_949,0.0
202311merchant_58123,3.3871462446733185
202312merchant_58123,3.867372993774854
202310merchant_58123,4.120790180734204
202311merchant_8514,0.0
202312merchant_8514,0.0
202310merchant_8514,0.0
202311merchant_63203,0.0
202312merchant_63203,0.0
202310merchant_63203,0.0
202311merchant_16777,0.0
202312merchant_16777,0.0
202310merchant_16777,0.0
202311merchant_4119,5.954110400612975
202312merchant_4119,5.311048647614259
202310merchant_4119,4.196586066689515
202311merchant_13926,0.0
202312merchant_13926,0.0
202310merchant_13926,0.0
202311merchant_45072,0.0
202312merchant_45072,0.0
202310merchant_45072,0.0
202311merchant_21369,0.0
202312merchant_21369,0.0
202310merchant_21369,0.0
202311merchant_45414,0.0
202312merchant_45414,0.0
202310merchant_45414,0.0
202311merchant_11820,0.0
202312merchant_11820,0.0
202310merchant_11820,0.0
202311merchant_27606,0.0
202312merchant_27606,0.0
202310merchant_27606,0.0
202311merchant_36786,0.0
202312merchant_36786,0.0
202310merchant_36786,0.0
202311merchant_26539,0.0
202312merchant_26539,0.0
202310merchant_26539,0.0
